LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Descriptions
FIN,SUICIDE,TOT,SUM,PER,A,ninetySeven,25.8,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyEight,23.9,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyNine,23.4,
FIN,SUICIDE,TOT,SUM,PER,A,zero,22.4,
FIN,SUICIDE,TOT,SUM,PER,A,one,23.1,
FIN,SUICIDE,TOT,SUM,PER,A,two,21,
FIN,SUICIDE,TOT,SUM,PER,A,three,20.4,
FIN,SUICIDE,TOT,SUM,PER,A,four,20.3,
FIN,SUICIDE,TOT,SUM,PER,A,five,18.6,
FIN,SUICIDE,TOT,SUM,PER,A,six,19.9,
FIN,SUICIDE,TOT,SUM,PER,A,seven,18.5,
FIN,SUICIDE,TOT,SUM,PER,A,eight,19.3,
FIN,SUICIDE,TOT,SUM,PER,A,nine,19.1,
FIN,SUICIDE,TOT,SUM,PER,A,ten,17.6,
FIN,SUICIDE,TOT,SUM,PER,A,eleven,16.6,
FIN,SUICIDE,TOT,SUM,PER,A,twelve,15.9,
FIN,SUICIDE,TOT,SUM,PER,A,thirteen,16.1,
FIN,SUICIDE,TOT,SUM,PER,A,fourteen,14.3,
FIN,SUICIDE,TOT,SUM,PER,A,sixteen,14.1,
FIN,SUICIDE,TOT,SUM,PER,A,seventeen,14.8,
FIN,SUICIDE,TOT,SUM,PER,A,eighteen,14.4,
FIN,SUICIDE,TOT,SUM,PER,A,nineteen,13.4,https://www.bbc.co.uk/news/world-europe-17292092.amp. The fluctuating rate of suicide rates may be due to these events: 1973 - Trade agreements signed with the European Economic Community and Comecon. 1990 - Economic difficulties as former Soviet and eastern European markets collapse. 1995 - Finland becomes member of the European Union. 2008 September - A 22-year-old gunman kills 11 people - including himself - in a shooting spree at a vocational college,
FRA,SUICIDE,TOT,SUM,PER,A,sixty,19,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyOne,19,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyTwo,18.1,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyThree,18.7,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyFour,17.9,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyFive,18,
FRA,SUICIDE,TOT,SUM,PER,A,sixtySix,18.7,
FRA,SUICIDE,TOT,SUM,PER,A,sixtySeven,18.6,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyEight,18.2,
FRA,SUICIDE,TOT,SUM,PER,A,sixtyNine,18.4,
FRA,SUICIDE,TOT,SUM,PER,A,seventy,18,
FRA,SUICIDE,TOT,SUM,PER,A,seventyOne,17.9,
FRA,SUICIDE,TOT,SUM,PER,A,seventyTwo,18.8,
FRA,SUICIDE,TOT,SUM,PER,A,seventyThree,18,
FRA,SUICIDE,TOT,SUM,PER,A,seventyFour,18,
FRA,SUICIDE,TOT,SUM,PER,A,seventyFive,18,
FRA,SUICIDE,TOT,SUM,PER,A,seventySix,17.9,
FRA,SUICIDE,TOT,SUM,PER,A,seventySeven,18.5,
FRA,SUICIDE,TOT,SUM,PER,A,seventyEight,19.4,
FRA,SUICIDE,TOT,SUM,PER,A,seventyNine,20.8,
FRA,SUICIDE,TOT,SUM,PER,A,eighty,21.5,
FRA,SUICIDE,TOT,SUM,PER,A,eightyOne,21.6,
FRA,SUICIDE,TOT,SUM,PER,A,eightyTwo,23.1,
FRA,SUICIDE,TOT,SUM,PER,A,eightyThree,23.9,
FRA,SUICIDE,TOT,SUM,PER,A,eightyFour,24.2,
FRA,SUICIDE,TOT,SUM,PER,A,eightyFive,24.7,
FRA,SUICIDE,TOT,SUM,PER,A,eightySix,25.1,
FRA,SUICIDE,TOT,SUM,PER,A,eightySeven,23.7,
FRA,SUICIDE,TOT,SUM,PER,A,eightyEight,22.3,
FRA,SUICIDE,TOT,SUM,PER,A,eightyNine,22.3,
FRA,SUICIDE,TOT,SUM,PER,A,ninety,21.5,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyOne,21.4,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyTwo,21.4,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyThree,22.2,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyFour,21.6,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyFive,21,
FRA,SUICIDE,TOT,SUM,PER,A,ninetySix,19.9,
FRA,SUICIDE,TOT,SUM,PER,A,ninetySeven,19.5,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyEight,18.6,
FRA,SUICIDE,TOT,SUM,PER,A,ninetyNine,18,
FRA,SUICIDE,TOT,SUM,PER,A,zero,18.8,
FRA,SUICIDE,TOT,SUM,PER,A,one,18,
FRA,SUICIDE,TOT,SUM,PER,A,two,18.1,
FRA,SUICIDE,TOT,SUM,PER,A,three,18.3,
FRA,SUICIDE,TOT,SUM,PER,A,four,18,
FRA,SUICIDE,TOT,SUM,PER,A,five,17.7,
FRA,SUICIDE,TOT,SUM,PER,A,six,17,
FRA,SUICIDE,TOT,SUM,PER,A,seven,16.3,
FRA,SUICIDE,TOT,SUM,PER,A,eight,16.5,
FRA,SUICIDE,TOT,SUM,PER,A,nine,16.7,
FRA,SUICIDE,TOT,SUM,PER,A,ten,16.3,
FRA,SUICIDE,TOT,SUM,PER,A,eleven,16.2,
FRA,SUICIDE,TOT,SUM,PER,A,twelve,15.1,
FRA,SUICIDE,TOT,SUM,PER,A,thirteen,14.8,
FRA,SUICIDE,TOT,SUM,PER,A,fourteen,13.5,
FRA,SUICIDE,TOT,SUM,PER,A,fifteen,13.6,
FRA,SUICIDE,TOT,SUM,PER,A,sixteen,12.7,
FRA,SUICIDE,TOT,SUM,PER,A,seventeen,12.3,https://www.ducksters.com/geography/country/france_history_timeline.php. The fluctuating rate of suicide rates may be due to these events: 1959 - Charles de Gaulle is elected the President of France. 1981 - Francois Mitterrand is elected president. 1992 - France signs the Maastricht Treaty creating the European Union. 2002 - The Euro replaces the French Franc as the official currency of France,
DEU,SUICIDE,TOT,SUM,PER,A,ninety,17.7,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyOne,17.7,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyTwo,16.8,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyThree,15.8,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyFour,15.7,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyFive,15.8,
DEU,SUICIDE,TOT,SUM,PER,A,ninetySix,14.9,
DEU,SUICIDE,TOT,SUM,PER,A,ninetySeven,14.8,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyEight,14.1,
DEU,SUICIDE,TOT,SUM,PER,A,ninetyNine,13.4,
DEU,SUICIDE,TOT,SUM,PER,A,zero,13.2,
DEU,SUICIDE,TOT,SUM,PER,A,one,13.2,
DEU,SUICIDE,TOT,SUM,PER,A,two,13.1,
DEU,SUICIDE,TOT,SUM,PER,A,three,13,
DEU,SUICIDE,TOT,SUM,PER,A,four,12.4,
DEU,SUICIDE,TOT,SUM,PER,A,five,11.8,
DEU,SUICIDE,TOT,SUM,PER,A,six,11.1,
DEU,SUICIDE,TOT,SUM,PER,A,seven,10.6,
DEU,SUICIDE,TOT,SUM,PER,A,eight,10.6,
DEU,SUICIDE,TOT,SUM,PER,A,nine,10.7,
DEU,SUICIDE,TOT,SUM,PER,A,ten,11.2,
DEU,SUICIDE,TOT,SUM,PER,A,eleven,11.2,
DEU,SUICIDE,TOT,SUM,PER,A,twelve,10.8,
DEU,SUICIDE,TOT,SUM,PER,A,thirteen,11.2,
DEU,SUICIDE,TOT,SUM,PER,A,fourteen,11.2,
DEU,SUICIDE,TOT,SUM,PER,A,fifteen,10.9,
DEU,SUICIDE,TOT,SUM,PER,A,sixteen,10.6,
DEU,SUICIDE,TOT,SUM,PER,A,seventeen,9.9,
DEU,SUICIDE,TOT,SUM,PER,A,eighteen,10,
DEU,SUICIDE,TOT,SUM,PER,A,nineteen,9.6,
DEU,SUICIDE,TOT,SUM,PER,A,twenty,9.7,https://www.ducksters.com/geography/country/germany_history_timeline.php. The fluctuating rate of suicide rates may be due to these events: 1961 - The Berlin Wall is built. 1973 - East and West Germany both join the United Nations. 1989 - The Berlin Wall is torn down. 1990 - Germany is reunified into a single country. 2005 - Angela Merkel is elected as the first woman Chancellor of Germany,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyOne,5.4,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyTwo,4.1,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyThree,4.7,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyFour,3.9,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyFive,3.9,
GRC,SUICIDE,TOT,SUM,PER,A,sixtySix,3.8,
GRC,SUICIDE,TOT,SUM,PER,A,sixtySeven,4.3,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyEight,4.5,
GRC,SUICIDE,TOT,SUM,PER,A,sixtyNine,4.4,
GRC,SUICIDE,TOT,SUM,PER,A,seventy,3.8,
GRC,SUICIDE,TOT,SUM,PER,A,seventyOne,4,
GRC,SUICIDE,TOT,SUM,PER,A,seventyTwo,3.3,
GRC,SUICIDE,TOT,SUM,PER,A,seventyThree,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,seventyFour,4,
GRC,SUICIDE,TOT,SUM,PER,A,seventyFive,3.1,
GRC,SUICIDE,TOT,SUM,PER,A,seventySix,3.2,
GRC,SUICIDE,TOT,SUM,PER,A,seventySeven,3.8,
GRC,SUICIDE,TOT,SUM,PER,A,seventyEight,3.3,
GRC,SUICIDE,TOT,SUM,PER,A,seventyNine,3.3,
GRC,SUICIDE,TOT,SUM,PER,A,eighty,3.8,
GRC,SUICIDE,TOT,SUM,PER,A,eightyOne,3.7,
GRC,SUICIDE,TOT,SUM,PER,A,eightyTwo,3.9,
GRC,SUICIDE,TOT,SUM,PER,A,eightyThree,4,
GRC,SUICIDE,TOT,SUM,PER,A,eightyFour,4.2,
GRC,SUICIDE,TOT,SUM,PER,A,eightyFive,4.4,
GRC,SUICIDE,TOT,SUM,PER,A,eightySix,4.2,
GRC,SUICIDE,TOT,SUM,PER,A,eightySeven,4.4,
GRC,SUICIDE,TOT,SUM,PER,A,eightyEight,4.3,
GRC,SUICIDE,TOT,SUM,PER,A,eightyNine,4,
GRC,SUICIDE,TOT,SUM,PER,A,ninety,3.6,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyOne,3.9,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyTwo,3.6,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyThree,4.1,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyFour,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyFive,3.6,
GRC,SUICIDE,TOT,SUM,PER,A,ninetySix,3.4,
GRC,SUICIDE,TOT,SUM,PER,A,ninetySeven,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyEight,3.8,
GRC,SUICIDE,TOT,SUM,PER,A,ninetyNine,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,zero,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,one,3,
GRC,SUICIDE,TOT,SUM,PER,A,two,2.9,
GRC,SUICIDE,TOT,SUM,PER,A,three,3.3,
GRC,SUICIDE,TOT,SUM,PER,A,four,3.1,
GRC,SUICIDE,TOT,SUM,PER,A,five,3.5,
GRC,SUICIDE,TOT,SUM,PER,A,six,3.4,
GRC,SUICIDE,TOT,SUM,PER,A,seven,2.8,
GRC,SUICIDE,TOT,SUM,PER,A,eight,3.1,
GRC,SUICIDE,TOT,SUM,PER,A,nine,3.3,
GRC,SUICIDE,TOT,SUM,PER,A,ten,3.2,
GRC,SUICIDE,TOT,SUM,PER,A,eleven,4,
GRC,SUICIDE,TOT,SUM,PER,A,twelve,4.3,
GRC,SUICIDE,TOT,SUM,PER,A,thirteen,4.6,
GRC,SUICIDE,TOT,SUM,PER,A,fourteen,4.9,
GRC,SUICIDE,TOT,SUM,PER,A,fifteen,4.6,
GRC,SUICIDE,TOT,SUM,PER,A,sixteen,4.1,
GRC,SUICIDE,TOT,SUM,PER,A,seventeen,4.5,
GRC,SUICIDE,TOT,SUM,PER,A,eighteen,4.9,
GRC,SUICIDE,TOT,SUM,PER,A,nineteen,4.6,https://www.ducksters.com/geography/country/greece_history_timeline.php. The fluctuating rate of suicide rates may be due to these events: 1975 - Greece forms a new parliamentary republic with a new constitution. 1981 - Greece joins the European Union. Andreas Papandreou is elected prime minister for the first time. 2002 - The Euro becomes the official currency replacing the drachma. 2013 - Unemployment climbs to over 26%. The youth unemployment nears 60%,
HUN,SUICIDE,TOT,SUM,PER,A,sixty,30.6,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyOne,31.3,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyTwo,30.7,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyThree,32.9,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyFour,34.8,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyFive,36,
HUN,SUICIDE,TOT,SUM,PER,A,sixtySix,35.2,
HUN,SUICIDE,TOT,SUM,PER,A,sixtySeven,36.8,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyEight,39.5,
HUN,SUICIDE,TOT,SUM,PER,A,sixtyNine,38.6,
HUN,SUICIDE,TOT,SUM,PER,A,seventy,40.3,
HUN,SUICIDE,TOT,SUM,PER,A,seventyOne,42,
HUN,SUICIDE,TOT,SUM,PER,A,seventyTwo,41.9,
HUN,SUICIDE,TOT,SUM,PER,A,seventyThree,42.6,
HUN,SUICIDE,TOT,SUM,PER,A,seventyFour,46.4,
HUN,SUICIDE,TOT,SUM,PER,A,seventyFive,43.7,
HUN,SUICIDE,TOT,SUM,PER,A,seventySix,46.5,
HUN,SUICIDE,TOT,SUM,PER,A,seventySeven,45.8,
HUN,SUICIDE,TOT,SUM,PER,A,seventyEight,49.2,
HUN,SUICIDE,TOT,SUM,PER,A,seventyNine,50.7,
HUN,SUICIDE,TOT,SUM,PER,A,eighty,51.1,
HUN,SUICIDE,TOT,SUM,PER,A,eightyOne,51.6,
HUN,SUICIDE,TOT,SUM,PER,A,eightyTwo,49,
HUN,SUICIDE,TOT,SUM,PER,A,eightyThree,51.4,
HUN,SUICIDE,TOT,SUM,PER,A,eightyFour,51.2,
HUN,SUICIDE,TOT,SUM,PER,A,eightyFive,49.2,
HUN,SUICIDE,TOT,SUM,PER,A,eightySix,50,
HUN,SUICIDE,TOT,SUM,PER,A,eightySeven,49.6,
HUN,SUICIDE,TOT,SUM,PER,A,eightyEight,45.2,
HUN,SUICIDE,TOT,SUM,PER,A,eightyNine,45.3,
HUN,SUICIDE,TOT,SUM,PER,A,ninety,43.9,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyOne,42.1,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyTwo,41.8,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyThree,38.6,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyFour,37.9,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyFive,35,
HUN,SUICIDE,TOT,SUM,PER,A,ninetySix,35.5,
HUN,SUICIDE,TOT,SUM,PER,A,ninetySeven,33.4,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyEight,33.1,
HUN,SUICIDE,TOT,SUM,PER,A,ninetyNine,35,
HUN,SUICIDE,TOT,SUM,PER,A,zero,34.1,
HUN,SUICIDE,TOT,SUM,PER,A,one,30.1,
HUN,SUICIDE,TOT,SUM,PER,A,two,28.6,
HUN,SUICIDE,TOT,SUM,PER,A,three,28.1,
HUN,SUICIDE,TOT,SUM,PER,A,four,27.3,
HUN,SUICIDE,TOT,SUM,PER,A,five,26.1,
HUN,SUICIDE,TOT,SUM,PER,A,six,24.3,
HUN,SUICIDE,TOT,SUM,PER,A,seven,24.2,
HUN,SUICIDE,TOT,SUM,PER,A,eight,24.3,
HUN,SUICIDE,TOT,SUM,PER,A,nine,24.1,
HUN,SUICIDE,TOT,SUM,PER,A,ten,24.3,
HUN,SUICIDE,TOT,SUM,PER,A,eleven,23.6,
HUN,SUICIDE,TOT,SUM,PER,A,twelve,22.8,
HUN,SUICIDE,TOT,SUM,PER,A,thirteen,20.2,
HUN,SUICIDE,TOT,SUM,PER,A,fourteen,18.5,
HUN,SUICIDE,TOT,SUM,PER,A,fifteen,18,
HUN,SUICIDE,TOT,SUM,PER,A,sixteen,16.9,
HUN,SUICIDE,TOT,SUM,PER,A,seventeen,15.7,
HUN,SUICIDE,TOT,SUM,PER,A,eighteen,15.9,
HUN,SUICIDE,TOT,SUM,PER,A,nineteen,14.8,https://hungarianconsulate.com/important-events-hungarys-history/. The fluctuating rate of suicide rates may be due to these events: 1956 - A people’s revolt against Stalinism was defeated by Soviet troops. János Kádár promised democratic socialism but retaliation and executions followed. 1965 - The new system became consolidated and cautious economic reforms were launched. Living standards were rising and the iron curtain began to disintegrate. 1990 - The Communist party voluntarily gave up its autocracy. A multi-party parliamentary democracy came into being in the country. The Soviet army left Hungary. 1999 - Hungary became a full member of NATO,
ISL,SUICIDE,TOT,SUM,PER,A,sixty,10.8,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyOne,13.6,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyTwo,11.9,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyThree,10.8,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyFour,12.4,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyFive,16.8,
ISL,SUICIDE,TOT,SUM,PER,A,sixtySix,24.7,
ISL,SUICIDE,TOT,SUM,PER,A,sixtySeven,23.3,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyEight,10,
ISL,SUICIDE,TOT,SUM,PER,A,sixtyNine,12.7,
ISL,SUICIDE,TOT,SUM,PER,A,seventy,17.7,
ISL,SUICIDE,TOT,SUM,PER,A,seventyOne,6.6,
ISL,SUICIDE,TOT,SUM,PER,A,seventyTwo,10.7,
ISL,SUICIDE,TOT,SUM,PER,A,seventyThree,16.6,
ISL,SUICIDE,TOT,SUM,PER,A,seventyFour,12.9,
ISL,SUICIDE,TOT,SUM,PER,A,seventyFive,13.1,
ISL,SUICIDE,TOT,SUM,PER,A,seventySix,10.9,
ISL,SUICIDE,TOT,SUM,PER,A,seventySeven,11.3,
ISL,SUICIDE,TOT,SUM,PER,A,seventyEight,12.4,
ISL,SUICIDE,TOT,SUM,PER,A,seventyNine,16.4,
ISL,SUICIDE,TOT,SUM,PER,A,eighty,13,
ISL,SUICIDE,TOT,SUM,PER,A,eightyOne,7.8,
ISL,SUICIDE,TOT,SUM,PER,A,eightyTwo,10.2,
ISL,SUICIDE,TOT,SUM,PER,A,eightyThree,20.6,
ISL,SUICIDE,TOT,SUM,PER,A,eightyFour,21.5,
ISL,SUICIDE,TOT,SUM,PER,A,eightyFive,15.7,
ISL,SUICIDE,TOT,SUM,PER,A,eightySix,18.1,
ISL,SUICIDE,TOT,SUM,PER,A,eightySeven,18.4,
ISL,SUICIDE,TOT,SUM,PER,A,eightyEight,16.7,
ISL,SUICIDE,TOT,SUM,PER,A,eightyNine,9.8,
ISL,SUICIDE,TOT,SUM,PER,A,ninety,16.3,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyOne,15.4,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyTwo,11.6,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyThree,11,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyFour,10.4,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyFive,11,
ISL,SUICIDE,TOT,SUM,PER,A,ninetySix,13.5,
ISL,SUICIDE,TOT,SUM,PER,A,ninetySeven,14,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyEight,11.5,
ISL,SUICIDE,TOT,SUM,PER,A,ninetyNine,11.3,
ISL,SUICIDE,TOT,SUM,PER,A,zero,18.1,
ISL,SUICIDE,TOT,SUM,PER,A,one,12.8,
ISL,SUICIDE,TOT,SUM,PER,A,two,10.4,
ISL,SUICIDE,TOT,SUM,PER,A,three,9.9,
ISL,SUICIDE,TOT,SUM,PER,A,four,12.6,
ISL,SUICIDE,TOT,SUM,PER,A,five,11.6,
ISL,SUICIDE,TOT,SUM,PER,A,six,10.9,
ISL,SUICIDE,TOT,SUM,PER,A,seven,12,
ISL,SUICIDE,TOT,SUM,PER,A,eight,12.8,
ISL,SUICIDE,TOT,SUM,PER,A,nine,12,
ISL,SUICIDE,TOT,SUM,PER,A,ten,15,
ISL,SUICIDE,TOT,SUM,PER,A,eleven,8.9,
ISL,SUICIDE,TOT,SUM,PER,A,twelve,11.9,
ISL,SUICIDE,TOT,SUM,PER,A,thirteen,16.3,
ISL,SUICIDE,TOT,SUM,PER,A,fourteen,14.1,
ISL,SUICIDE,TOT,SUM,PER,A,fifteen,12.4,
ISL,SUICIDE,TOT,SUM,PER,A,sixteen,12.2,
ISL,SUICIDE,TOT,SUM,PER,A,seventeen,9.8,
ISL,SUICIDE,TOT,SUM,PER,A,eighteen,9.8,
ISL,SUICIDE,TOT,SUM,PER,A,nineteen,11.2,
ISL,SUICIDE,TOT,SUM,PER,A,twenty,12.7,https://www.bbc.co.uk/news/world-europe-17386859.amp. The fluctuating rate of suicide rates may be due to these events: 1958-61 - First "Cod War" between Iceland and UK as Iceland extends its fishing limit to 19km. 1980 - Iceland suffers from high inflation averaging 38% annually. 1985 - Iceland declares itself a nuclear-free zone. 2006 - The last US military personnel leave the Keflavik base. The US says it will defend Iceland as a Nato ally. 2011 - Economy registers first signs of growth in response to austerity programme and unemployment begins to fall fast,
IRL,SUICIDE,TOT,SUM,PER,A,sixty,3.7,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyOne,3.9,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyTwo,2.3,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyThree,3.1,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyFour,2.6,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyFive,2.2,
IRL,SUICIDE,TOT,SUM,PER,A,sixtySix,3.1,
IRL,SUICIDE,TOT,SUM,PER,A,sixtySeven,3.1,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyEight,3,
IRL,SUICIDE,TOT,SUM,PER,A,sixtyNine,2.3,
IRL,SUICIDE,TOT,SUM,PER,A,seventy,2.2,
IRL,SUICIDE,TOT,SUM,PER,A,seventyOne,3.5,
IRL,SUICIDE,TOT,SUM,PER,A,seventyTwo,3.8,
IRL,SUICIDE,TOT,SUM,PER,A,seventyThree,4.3,
IRL,SUICIDE,TOT,SUM,PER,A,seventyFour,4.8,
IRL,SUICIDE,TOT,SUM,PER,A,seventyFive,5.8,
IRL,SUICIDE,TOT,SUM,PER,A,seventySix,7,
IRL,SUICIDE,TOT,SUM,PER,A,seventySeven,5.6,
IRL,SUICIDE,TOT,SUM,PER,A,seventyEight,6,
IRL,SUICIDE,TOT,SUM,PER,A,seventyNine,6.9,
IRL,SUICIDE,TOT,SUM,PER,A,eighty,8,
IRL,SUICIDE,TOT,SUM,PER,A,eightyOne,8,
IRL,SUICIDE,TOT,SUM,PER,A,eightyTwo,8.6,
IRL,SUICIDE,TOT,SUM,PER,A,eightyThree,9.7,
IRL,SUICIDE,TOT,SUM,PER,A,eightyFour,8,
IRL,SUICIDE,TOT,SUM,PER,A,eightyFive,9.3,
IRL,SUICIDE,TOT,SUM,PER,A,eightySix,9.5,
IRL,SUICIDE,TOT,SUM,PER,A,eightySeven,8.4,
IRL,SUICIDE,TOT,SUM,PER,A,eightyEight,8.9,
IRL,SUICIDE,TOT,SUM,PER,A,eightyNine,9.4,
IRL,SUICIDE,TOT,SUM,PER,A,ninety,11.1,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyOne,11,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyTwo,11.4,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyThree,10.1,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyFour,12.1,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyFive,11.9,
IRL,SUICIDE,TOT,SUM,PER,A,ninetySix,11.6,
IRL,SUICIDE,TOT,SUM,PER,A,ninetySeven,13.1,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyEight,13.7,
IRL,SUICIDE,TOT,SUM,PER,A,ninetyNine,11.7,
IRL,SUICIDE,TOT,SUM,PER,A,zero,12.3,
IRL,SUICIDE,TOT,SUM,PER,A,one,12.9,
IRL,SUICIDE,TOT,SUM,PER,A,two,11.4,
IRL,SUICIDE,TOT,SUM,PER,A,three,11.5,
IRL,SUICIDE,TOT,SUM,PER,A,four,11.6,
IRL,SUICIDE,TOT,SUM,PER,A,five,10.9,
IRL,SUICIDE,TOT,SUM,PER,A,six,10.7,
IRL,SUICIDE,TOT,SUM,PER,A,seven,10.5,
IRL,SUICIDE,TOT,SUM,PER,A,eight,11.5,
IRL,SUICIDE,TOT,SUM,PER,A,nine,11.8,
IRL,SUICIDE,TOT,SUM,PER,A,ten,10.8,
IRL,SUICIDE,TOT,SUM,PER,A,eleven,12.2,
IRL,SUICIDE,TOT,SUM,PER,A,twelve,12.2,
IRL,SUICIDE,TOT,SUM,PER,A,thirteen,11.1,
IRL,SUICIDE,TOT,SUM,PER,A,fourteen,10.8,
IRL,SUICIDE,TOT,SUM,PER,A,fifteen,9.5,
IRL,SUICIDE,TOT,SUM,PER,A,eighteen,9.4,https://www.ducksters.com/geography/country/ireland_history_timeline.php. The fluctuating rate of suicide rates may be due to these events: 1969 - The Troubles begin in Northern Ireland between the IRA and the loyalists. Constant violence between the two groups existed up until 1998. 1990 - Mary Robinson is elected President of Ireland. She is the first woman president of the country. 1998 - The Belfast Agreement is signed reducing the violence and putting an end to The Troubles,
ITA,SUICIDE,TOT,SUM,PER,A,sixty,7.6,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyOne,6.8,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyTwo,6.7,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyThree,6.5,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyFour,6.8,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyFive,6.8,
ITA,SUICIDE,TOT,SUM,PER,A,sixtySix,6.4,
ITA,SUICIDE,TOT,SUM,PER,A,sixtySeven,6.8,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyEight,6.6,
ITA,SUICIDE,TOT,SUM,PER,A,sixtyNine,6.6,
ITA,SUICIDE,TOT,SUM,PER,A,seventy,7,
ITA,SUICIDE,TOT,SUM,PER,A,seventyOne,7,
ITA,SUICIDE,TOT,SUM,PER,A,seventyTwo,7,
ITA,SUICIDE,TOT,SUM,PER,A,seventyThree,7,
ITA,SUICIDE,TOT,SUM,PER,A,seventyFour,6.4,
ITA,SUICIDE,TOT,SUM,PER,A,seventyFive,6.6,
ITA,SUICIDE,TOT,SUM,PER,A,seventySix,6.6,
ITA,SUICIDE,TOT,SUM,PER,A,seventySeven,7.3,
ITA,SUICIDE,TOT,SUM,PER,A,seventyEight,7.4,
ITA,SUICIDE,TOT,SUM,PER,A,seventyNine,7.9,
ITA,SUICIDE,TOT,SUM,PER,A,eighty,8.2,
ITA,SUICIDE,TOT,SUM,PER,A,eightyOne,7.7,
ITA,SUICIDE,TOT,SUM,PER,A,eightyTwo,8.4,
ITA,SUICIDE,TOT,SUM,PER,A,eightyThree,8.5,
ITA,SUICIDE,TOT,SUM,PER,A,eightyFour,8.7,
ITA,SUICIDE,TOT,SUM,PER,A,eightyFive,9.2,
